ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,dividend_yield
AAPL,AAPL,AAPL,AAPL,NASDAQ,262.82000732421875,259.17999267578125,264.1300048828125,259.18 - 264.13,38221700,38221700,1.2481781799657814,2025-10-26 00:50:25.458067+00:00,2025-10-26 00:50:25.458074+00:00,0.3880983074251697
ABNB,ABNB,ABNB,ABNB,NASDAQ,127.98999786376953,127.3499984741211,129.05999755859375,127.35 - 129.06,3344300,3344300,0.5025515487371539,2025-10-26 00:50:25.459031+00:00,2025-10-26 00:50:25.459035+00:00,0.0
ADBE,ADBE,ADBE,ADBE,NASDAQ,353.5199890136719,353.2900085449219,358.1000061035156,353.29 - 358.10,2014700,2014700,-0.1694358160479098,2025-10-26 00:50:25.459800+00:00,2025-10-26 00:50:25.459802+00:00,0.0
ADI,ADI,ADI,ADI,NASDAQ,238.00999450683594,236.6300048828125,245.50999450683594,236.63 - 245.51,3471900,3471900,-2.1702490546280218,2025-10-26 00:50:25.466851+00:00,2025-10-26 00:50:25.466854+00:00,1.6343851475902096
ADP,ADP,ADP,ADP,NASDAQ,280.94000244140625,280.67999267578125,282.8599853515625,280.68 - 282.86,1263200,1263200,-0.21665259385876393,2025-10-26 00:50:25.467652+00:00,2025-10-26 00:50:25.467654+00:00,2.1926389785964173
ADSK,ADSK,ADSK,ADSK,NASDAQ,312.8800048828125,311.1499938964844,314.510009765625,311.15 - 314.51,953300,953300,0.9811543315429962,2025-10-26 00:50:25.468369+00:00,2025-10-26 00:50:25.468372+00:00,0.0
AFRM,AFRM,AFRM,AFRM,NASDAQ,75.38999938964844,75.29000091552734,78.94999694824219,75.29 - 78.95,4899500,4899500,-0.19857231143887008,2025-10-26 00:50:25.469157+00:00,2025-10-26 00:50:25.469159+00:00,0.0
ALGN,ALGN,ALGN,ALGN,NASDAQ,135.2100067138672,135.13999938964844,138.5,135.14 - 138.50,864300,864300,-0.5808774162741268,2025-10-26 00:50:25.469866+00:00,2025-10-26 00:50:25.469868+00:00,0.0
AMAT,AMAT,AMAT,AMAT,NASDAQ,228.75,226.2899932861328,230.72000122070312,226.29 - 230.72,5344700,5344700,0.12255384855817235,2025-10-26 00:50:25.474529+00:00,2025-10-26 00:50:25.474531+00:00,0.751912568306011
AMD,AMD,AMD,AMD,NASDAQ,252.9199981689453,241.9499969482422,253.38999938964844,241.95 - 253.39,70976100,70976100,7.630108624472048,2025-10-26 00:50:25.475306+00:00,2025-10-26 00:50:25.475308+00:00,0.0
AMGN,AMGN,AMGN,AMGN,NASDAQ,291.760009765625,290.6600036621094,293.94000244140625,290.66 - 293.94,1376300,1376300,-0.3858120203137927,2025-10-26 00:50:25.480052+00:00,2025-10-26 00:50:25.480056+00:00,3.218398576125331
AMZN,AMZN,AMZN,AMZN,NASDAQ,224.2100067138672,221.89999389648438,225.39999389648438,221.90 - 225.40,38620200,38620200,1.4111947295924994,2025-10-26 00:50:25.481116+00:00,2025-10-26 00:50:25.481118+00:00,0.0
AVGO,AVGO,AVGO,AVGO,NASDAQ,354.1300048828125,350.8800048828125,358.29998779296875,350.88 - 358.30,16128900,16128900,2.858054574246157,2025-10-26 00:50:25.481836+00:00,2025-10-26 00:50:25.481838+00:00,0.6664219262586809
BE,BE,BE,BE,NASDAQ,110.37999725341797,104.25,111.37000274658203,104.25 - 111.37,10379900,10379900,8.834548655332354,2025-10-26 00:50:25.482537+00:00,2025-10-26 00:50:25.482540+00:00,0.0
BIIB,BIIB,BIIB,BIIB,NASDAQ,149.88999938964844,148.97999572753906,151.9199981689453,148.98 - 151.92,1338300,1338300,-0.12660077231351322,2025-10-26 00:50:25.483245+00:00,2025-10-26 00:50:25.483248+00:00,0.0
BILI,BILI,BILI,BILI,NASDAQ,29.459999084472656,29.209999084472656,29.84000015258789,29.21 - 29.84,1879500,1879500,1.7616521868492698,2025-10-26 00:50:25.483934+00:00,2025-10-26 00:50:25.483936+00:00,0.0
BKNG,BKNG,BKNG,BKNG,NASDAQ,5146.16015625,5080.0,5176.06982421875,5080.00 - 5176.07,225500,225500,1.0344605776371727,2025-10-26 00:50:25.488976+00:00,2025-10-26 00:50:25.488979+00:00,0.7296702562666186
BLDP,BLDP,BLDP,BLDP,NASDAQ,3.440000057220459,3.3399999141693115,3.5,3.34 - 3.50,5610200,5610200,4.87805143982653,2025-10-26 00:50:25.489763+00:00,2025-10-26 00:50:25.489765+00:00,0.0
